trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F2859340:2024-09-25T00:19:05Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2859340:2024-09-25T00:19:05Z,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12213F3090510:2024-10-08T00:31:46Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090510:2024-10-08T00:31:46Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12213F3090510:2024-10-08T00:31:46Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090510:2024-10-08T00:31:46Z,23:06:00,23:09:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090510:2024-10-08T00:31:46Z,23:38:00,23:38:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3362629:2024-09-25T00:19:05Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3362629:2024-09-25T00:19:05Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12213F3362629:2024-09-25T00:19:05Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3362629:2024-09-25T00:19:05Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3362629:2024-09-25T00:19:05Z,23:38:00,23:38:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3362630:2024-09-25T00:19:05Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3362630:2024-09-25T00:19:05Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12213F3362630:2024-09-25T00:19:05Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3362630:2024-09-25T00:19:05Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3362630:2024-09-25T00:19:05Z,23:38:00,23:38:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12250F2898752:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2898752:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F2898898:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2898898:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3133535:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3133535:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3133995:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3133995:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3153338:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3153338:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391102,1,,1,0,
OCESN12250F3227328:2024-10-11T00:34:04Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3227328:2024-10-11T00:34:04Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3227329:2024-10-13T00:47:17Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3227329:2024-10-13T00:47:17Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3227330:2024-09-25T00:19:05Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3227330:2024-09-25T00:19:05Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F2597654:2024-09-25T00:19:05Z,07:04:00,07:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F2597654:2024-09-25T00:19:05Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F3153540:2024-09-25T00:19:05Z,07:04:00,07:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F3153540:2024-09-25T00:19:05Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12254F2898534:2024-10-01T00:19:58Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2898534:2024-10-01T00:19:58Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F2899411:2024-10-01T00:19:58Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2899411:2024-10-01T00:19:58Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3153371:2024-10-13T00:47:17Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3153371:2024-10-13T00:47:17Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3154536:2024-09-25T00:19:05Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3154536:2024-09-25T00:19:05Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3217729:2024-09-25T00:19:05Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
