trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F3306499:2024-10-24T00:40:14Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3306499:2024-10-24T00:40:14Z,07:44:00,07:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3306499:2024-10-24T00:40:14Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3306499:2024-10-24T00:40:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3306499:2024-10-24T00:40:14Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3306499:2024-10-24T00:40:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3306499:2024-10-24T00:40:14Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,06:27:00,06:27:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3413095:2024-10-24T00:40:14Z,07:13:00,07:15:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,07:36:00,07:39:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,08:03:00,08:06:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,08:20:00,08:23:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,09:02:00,09:04:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3413095:2024-10-24T00:40:14Z,09:53:00,09:53:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,06:57:00,06:57:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3517036:2024-10-24T00:40:14Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3517036:2024-10-24T00:40:14Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,07:01:00,07:01:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3517040:2024-10-24T00:40:14Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3517040:2024-10-24T00:40:14Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,06:54:00,06:54:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3517062:2024-10-24T00:40:14Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3517062:2024-10-24T00:40:14Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,06:43:00,06:43:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3517065:2024-10-24T00:40:14Z,07:31:00,07:33:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,07:56:00,07:59:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,08:26:00,08:29:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3517065:2024-10-24T00:40:14Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3554338:2024-10-24T00:40:14Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3554338:2024-10-24T00:40:14Z,07:44:00,07:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3554338:2024-10-24T00:40:14Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3554338:2024-10-24T00:40:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
