route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14140F3306499:2024-10-24T00:40:14Z,14140,1,1,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000002,OCESN14140F3413095:2024-10-24T00:40:14Z,14140,1,2,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000003,OCESN14140F3517036:2024-10-24T00:40:14Z,14140,1,3,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000004,OCESN14140F3517040:2024-10-24T00:40:14Z,14140,1,4,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000005,OCESN14140F3517062:2024-10-24T00:40:14Z,14140,1,5,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14140F3517065:2024-10-24T00:40:14Z,14140,1,6,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14140F3554338:2024-10-24T00:40:14Z,14140,1,7,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14140F3599207:2024-10-24T00:40:14Z,14140,1,8,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14140F3599208:2024-10-24T00:40:14Z,14140,1,9,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000010,OCESN14141F2994550:2024-10-23T00:32:48Z,14141,0,10,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000011,OCESN14141F3519867:2024-10-24T00:40:14Z,14141,0,11,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14141F3554466:2024-10-23T00:32:48Z,14141,0,12,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14141F3580687:2024-10-23T00:32:48Z,14141,0,13,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000012,OCESN14141F3588828:2024-10-23T00:32:48Z,14141,0,14,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14141F3598345:2024-10-23T00:32:48Z,14141,0,15,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000013,OCESN14142F3276201:2024-10-24T00:40:14Z,14142,1,16,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000011,OCESN14142F3517973:2024-10-24T00:40:14Z,14142,1,17,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14142F3580632:2024-10-24T00:40:14Z,14142,1,18,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14142F3580633:2024-10-24T00:40:14Z,14142,1,19,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000014,OCESN14142F3588809:2024-10-24T00:40:14Z,14142,1,20,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14142F3598355:2024-10-24T00:40:14Z,14142,1,21,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000010,OCESN14143F3152373:2024-10-23T00:32:48Z,14143,0,22,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000012,OCESN14143F3447285:2024-10-23T00:32:48Z,14143,0,23,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000003,OCESN14143F3516996:2024-10-23T00:32:48Z,14143,0,24,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000015,OCESN14143F3518196:2024-10-23T00:32:48Z,14143,0,25,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14143F3588736:2024-10-23T00:32:48Z,14143,0,26,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14143F3598189:2024-10-23T00:32:48Z,14143,0,27,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14143F3598190:2024-10-23T00:32:48Z,14143,0,28,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000010,OCESN14148F3065142:2024-10-24T00:40:14Z,14148,1,29,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14148F3496115:2024-10-24T00:40:14Z,14148,1,30,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000003,OCESN14148F3526203:2024-10-24T00:40:14Z,14148,1,31,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000015,OCESN14148F3530486:2024-10-24T00:40:14Z,14148,1,32,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000012,OCESN14148F3580223:2024-10-24T00:40:14Z,14148,1,33,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14148F3588657:2024-10-24T00:40:14Z,14148,1,34,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14148F3598476:2024-10-24T00:40:14Z,14148,1,35,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000016,OCESN14150F3517025:2024-10-24T00:40:14Z,14150,1,36,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000017,OCESN14150F3518455:2024-10-24T00:40:14Z,14150,1,37,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14150F3580618:2024-10-24T00:40:14Z,14150,1,38,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14150F3588790:2024-10-24T00:40:14Z,14150,1,39,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14150F3599744:2024-10-24T00:40:14Z,14150,1,40,
