stop_id_start,stop_id_end,travel_time,trip_id,departure_station,stop_lat_start,stop_lon_start,stop_lat_end,stop_lon_end,arrival_station,trip_type,departure_city,arrival_city
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87313767,10.0,OCESN847501F3529103:2024-10-11T00:34:04Z,Abancourt,49.685621,1.774297,49.765115,1.756069,Aumale,TER,Abancourt,Aumale
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87313742,6.0,OCESN847502F3353850:2024-10-11T00:34:04Z,Abancourt,49.685621,1.774297,49.654339,1.830884,Feuquières - Broquiers,TER,Abancourt,Feuquières
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87313833,4.0,OCESN848973F3530013:2024-10-12T00:35:06Z,Abancourt,49.685621,1.774297,49.654606,1.723582,Formerie,TER,Abancourt,Formerie
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87313841,6.0,OCESN848980F3470888:2024-10-13T00:47:17Z,Abancourt,49.685621,1.774297,49.736282,1.825731,Fouilloy,TER,Abancourt,Fouilloy
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87313395,12.0,OCESN848920F2479136:2024-10-10T10:27:58Z,Abancourt,49.685621,1.774297,49.777788,1.989899,Poix-de-Picardie,TER,Abancourt,Poix-de-Picardie
StopPoint:OCETrain TER-87313759,StopPoint:OCETrain TER-87411470,12.0,OCESN848900F3439913:2024-10-12T00:35:06Z,Abancourt,49.685621,1.774297,49.631551,1.539403,Serqueux,TER,Abancourt,Serqueux
StopPoint:OCETramTrain-87481614,StopPoint:OCETramTrain-87481622,7.0,OCELO859620F3532897:2024-10-08T00:31:46Z,Abbaretz,47.555241,-1.524289,47.627019,-1.450442,Issé,TER,Abbaretz,Issé
StopPoint:OCETramTrain-87481614,StopPoint:OCETramTrain-87481598,11.0,OCELO859621F3516032:2024-10-08T00:31:46Z,Abbaretz,47.555241,-1.524289,47.441925,-1.503167,Nort-sur-Erdre,TER,Abbaretz,Nort-sur-Erdre
StopPoint:OCETrain TER-87317362,StopPoint:OCETrain TER-87313874,25.0,OCESN16354F3399992:2024-10-13T00:47:17Z,Abbeville,50.102175,1.824538,49.890584,2.308277,Amiens,TER,Abbeville,Amiens
StopPoint:OCECar-87317362,StopPoint:OCECar-87317529,40.0,OCESN58007R3427881:2024-10-08T00:31:46Z,Abbeville,50.102175,1.824538,50.062716,1.376078,Le Tréport - Mers-les-Bains,TER,Abbeville,Le Tréport - Mers-les-Bains
